Model_name,Price,Country,Currency
24-inch iMac,1919.01,Australia,AUD
AirPods Max,908.47,Australia,AUD
AirPods Pro,403.2,Australia,AUD
AirPods(2nd generation),221.31,Australia,AUD
AirPods(3rd generation),281.94,Australia,AUD
Apple Pencil (2nd generation),201.1,Australia,AUD
Apple TV 4K,251.62,Australia,AUD
Apple TV HD,1299.0,Denmark,DKK
Apple Watch SE,433.52,Australia,AUD
Apple Watch Series 3,302.15,Australia,AUD
MacBook Air,1514.8,Australia,AUD
Magic Mouse,110.15,Australia,AUD
Sport Band,69.73,Australia,AUD
iPad,504.26,Australia,AUD
iPad Pro,1211.64,Australia,AUD
iPhone 12,1009.53,Australia,AUD
iPhone 13,1211.64,Australia,AUD
iPhone 13 Pro,1194.5,Italy,EUR
iPhone SE,686.16,Australia,AUD
